symbol,side,signal_time,entry_time,exit_time,entry_price,initial_stop,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,r_multiple
AXISBANK,short,2026-05-27 09:25:00+05:30,2026-05-27 09:30:00+05:30,2026-05-27 10:05:00+05:30,1294.0526,1301.3,1301.9507,96,stop,-758.22,74.76,-832.98,-1.1972
TCS,short,2026-05-27 09:30:00+05:30,2026-05-27 09:40:00+05:30,2026-05-27 10:10:00+05:30,2267.9655,2276.6001,2271.135,55,stop,-174.32,74.9,-249.22,-0.5248
KOTAKBANK,long,2026-05-27 10:10:00+05:30,2026-05-27 10:15:00+05:30,2026-05-27 10:35:00+05:30,389.8448,389.0,389.0054,320,stop,-268.61,74.77,-343.38,-1.2702
ICICIBANK,long,2026-05-27 10:05:00+05:30,2026-05-27 10:10:00+05:30,2026-05-27 10:40:00+05:30,1288.8441,1283.7,1288.6554,96,stop,-18.11,74.23,-92.34,-0.187
LT,long,2026-05-27 10:50:00+05:30,2026-05-27 11:05:00+05:30,2026-05-27 11:20:00+05:30,4068.033,4054.5,4057.97,30,stop,-301.89,73.13,-375.02,-0.9237
HDFCBANK,short,2026-05-27 14:40:00+05:30,2026-05-27 14:45:00+05:30,2026-05-27 15:15:00+05:30,757.621,759.95,759.7797,164,stop,-354.03,74.66,-428.69,-1.1223
RELIANCE,short,2026-05-27 14:40:00+05:30,2026-05-27 14:50:00+05:30,2026-05-27 15:25:00+05:30,1349.325,1354.3,1352.676,92,stop,-308.29,74.58,-382.87,-0.8365
ITC,short,2026-05-29 10:55:00+05:30,2026-05-29 11:00:00+05:30,2026-05-29 11:10:00+05:30,288.7056,289.2,289.3446,432,stop,-276.06,74.92,-350.98,-1.6432
HDFCBANK,long,2026-05-29 11:00:00+05:30,2026-05-29 11:05:00+05:30,2026-05-29 11:15:00+05:30,760.7802,758.5,758.1208,164,stop,-436.15,74.73,-510.88,-1.3662
RELIANCE,short,2026-05-29 10:20:00+05:30,2026-05-29 10:30:00+05:30,2026-05-29 11:15:00+05:30,1343.8278,1349.9,1343.5715,93,stop,23.83,74.98,-51.14,-0.0906
KOTAKBANK,long,2026-05-29 10:45:00+05:30,2026-05-29 10:50:00+05:30,2026-05-29 11:20:00+05:30,390.6452,390.0,391.4173,319,target,246.28,74.84,171.44,0.8329
LT,long,2026-05-29 12:50:00+05:30,2026-05-29 12:55:00+05:30,2026-05-29 13:10:00+05:30,4117.0575,4108.2998,4107.6453,30,stop,-282.36,74.02,-356.39,-1.3565
TCS,short,2026-05-29 11:55:00+05:30,2026-05-29 12:05:00+05:30,2026-05-29 13:20:00+05:30,2294.3522,2300.8,2285.8229,54,target,460.59,74.2,386.39,1.1097
AXISBANK,short,2026-05-29 13:05:00+05:30,2026-05-29 13:10:00+05:30,2026-05-29 13:25:00+05:30,1295.352,1299.2,1298.4489,96,stop,-297.31,74.7,-372.01,-1.0071
SBIN,short,2026-05-29 13:10:00+05:30,2026-05-29 13:15:00+05:30,2026-05-29 13:50:00+05:30,964.5175,966.0,962.7749,129,target,224.8,74.59,150.21,0.7854
ICICIBANK,short,2026-05-29 14:45:00+05:30,2026-05-29 15:00:00+05:30,2026-05-29 15:05:00+05:30,1266.7663,1270.4,1261.9464,98,target,472.35,74.34,398.01,1.1177
HDFCBANK,short,2026-06-01 09:40:00+05:30,2026-06-01 09:45:00+05:30,2026-06-01 10:10:00+05:30,743.1782,747.25,746.323,168,stop,-528.32,75.07,-603.39,-0.8821
SBIN,short,2026-06-01 10:40:00+05:30,2026-06-01 10:45:00+05:30,2026-06-01 10:50:00+05:30,959.6199,961.9,962.381,130,stop,-358.94,74.96,-433.89,-1.4638
ITC,short,2026-06-01 10:55:00+05:30,2026-06-01 11:00:00+05:30,2026-06-01 11:15:00+05:30,284.0579,285.3,284.7923,440,stop,-323.14,75.09,-398.23,-0.7287
LT,short,2026-06-01 11:55:00+05:30,2026-06-01 12:00:00+05:30,2026-06-01 12:20:00+05:30,4043.0775,4063.3999,4060.029,30,stop,-508.54,72.93,-581.47,-0.9537
INFY,long,2026-06-01 12:15:00+05:30,2026-06-01 12:20:00+05:30,2026-06-01 12:35:00+05:30,1216.608,1213.0,1212.3935,102,stop,-429.88,74.33,-504.21,-1.3701
ICICIBANK,short,2026-06-01 11:55:00+05:30,2026-06-01 12:00:00+05:30,2026-06-01 12:50:00+05:30,1247.7758,1252.8,1246.523,100,stop,125.28,74.83,50.46,0.1004
TCS,long,2026-06-01 12:05:00+05:30,2026-06-01 12:10:00+05:30,2026-06-01 13:00:00+05:30,2332.6657,2324.1001,2328.5351,53,stop,-218.92,74.11,-293.04,-0.6455
AXISBANK,short,2026-06-01 11:55:00+05:30,2026-06-01 12:00:00+05:30,2026-06-01 13:10:00+05:30,1275.0621,1279.6,1268.8894,98,target,604.92,74.79,530.13,1.1921
KOTAKBANK,short,2026-06-01 13:00:00+05:30,2026-06-01 13:05:00+05:30,2026-06-01 13:20:00+05:30,378.2108,379.35,378.5892,330,stop,-124.87,74.92,-199.8,-0.5315
RELIANCE,short,2026-06-01 14:00:00+05:30,2026-06-01 14:05:00+05:30,2026-06-01 14:40:00+05:30,1319.8398,1323.6,1321.7605,94,stop,-180.55,74.49,-255.05,-0.7216
LT,short,2026-06-02 11:25:00+05:30,2026-06-02 11:35:00+05:30,2026-06-02 12:10:00+05:30,3938.4297,3948.8,3937.8679,31,stop,17.42,73.25,-55.83,-0.1737
ICICIBANK,short,2026-06-02 11:35:00+05:30,2026-06-02 11:40:00+05:30,2026-06-02 12:15:00+05:30,1223.388,1227.9,1225.6125,102,stop,-226.9,74.94,-301.84,-0.6558
SBIN,short,2026-06-02 12:20:00+05:30,2026-06-02 12:25:00+05:30,2026-06-02 12:40:00+05:30,942.0787,944.8,944.472,132,stop,-315.91,74.71,-390.62,-1.0875
RELIANCE,short,2026-06-02 12:25:00+05:30,2026-06-02 12:30:00+05:30,2026-06-02 12:45:00+05:30,1301.1491,1306.0,1305.7525,96,stop,-441.92,75.08,-517.0,-1.1102
ITC,long,2026-06-02 12:35:00+05:30,2026-06-02 12:40:00+05:30,2026-06-02 13:00:00+05:30,281.1405,280.55,280.8595,444,stop,-124.76,74.86,-199.62,-0.7614
HDFCBANK,long,2026-06-02 10:55:00+05:30,2026-06-02 11:00:00+05:30,2026-06-02 13:10:00+05:30,745.8727,740.4,750.6245,167,stop,793.54,74.97,718.57,0.7862
KOTAKBANK,long,2026-06-02 12:45:00+05:30,2026-06-02 12:50:00+05:30,2026-06-02 13:10:00+05:30,380.6902,378.85,380.3098,328,stop,-124.8,74.88,-199.69,-0.3308
TCS,long,2026-06-02 12:30:00+05:30,2026-06-02 12:45:00+05:30,2026-06-02 13:15:00+05:30,2448.7237,2431.1001,2439.3798,51,stop,-476.54,74.79,-551.33,-0.6134
RELIANCE,short,2026-06-03 10:55:00+05:30,2026-06-03 11:00:00+05:30,2026-06-03 11:20:00+05:30,1305.347,1307.0,1305.5525,95,stop,-19.52,74.41,-93.93,-0.5982
ITC,short,2026-06-03 11:55:00+05:30,2026-06-03 12:00:00+05:30,2026-06-03 12:15:00+05:30,275.2623,276.1,276.088,454,stop,-374.86,75.09,-449.96,-1.1831
KOTAKBANK,long,2026-06-03 12:30:00+05:30,2026-06-03 12:35:00+05:30,2026-06-03 12:55:00+05:30,379.7898,377.35,378.6606,329,stop,-371.52,74.86,-446.37,-0.5561
HDFCBANK,long,2026-06-03 12:30:00+05:30,2026-06-03 12:35:00+05:30,2026-06-03 13:40:00+05:30,750.425,746.3,748.4756,166,stop,-323.61,74.65,-398.26,-0.5816
AXISBANK,long,2026-06-03 12:30:00+05:30,2026-06-03 12:35:00+05:30,2026-06-03 13:45:00+05:30,1253.4264,1246.0,1263.9338,99,target,1040.23,74.77,965.47,1.3132
TCS,short,2026-06-03 13:30:00+05:30,2026-06-03 13:35:00+05:30,2026-06-03 13:45:00+05:30,2234.6821,2242.0,2243.121,55,stop,-464.14,73.88,-538.02,-1.3368
KOTAKBANK,long,2026-06-04 10:50:00+05:30,2026-06-04 10:55:00+05:30,2026-06-04 11:00:00+05:30,383.8418,382.15,381.9589,325,stop,-611.94,74.67,-686.61,-1.2487
ICICIBANK,long,2026-06-04 11:10:00+05:30,2026-06-04 11:15:00+05:30,2026-06-04 11:30:00+05:30,1253.2263,1249.0,1248.3755,99,stop,-480.23,74.3,-554.52,-1.3253
ITC,long,2026-06-04 09:55:00+05:30,2026-06-04 10:10:00+05:30,2026-06-04 11:35:00+05:30,278.6393,277.65,279.9831,448,target,602.03,75.08,526.95,1.189
SBIN,long,2026-06-04 11:30:00+05:30,2026-06-04 11:35:00+05:30,2026-06-04 11:50:00+05:30,982.8412,980.0,982.4086,127,stop,-54.94,74.88,-129.81,-0.3598
HDFCBANK,long,2026-06-04 12:05:00+05:30,2026-06-04 12:10:00+05:30,2026-06-04 12:35:00+05:30,755.2274,750.6,752.1737,165,stop,-503.86,74.62,-578.47,-0.7576
AXISBANK,short,2026-06-04 13:10:00+05:30,2026-06-04 13:15:00+05:30,2026-06-04 14:15:00+05:30,1246.7763,1251.9,1252.0257,100,stop,-524.94,74.96,-599.9,-1.1708
HDFCBANK,long,2026-06-05 09:30:00+05:30,2026-06-05 09:35:00+05:30,2026-06-05 09:40:00+05:30,758.279,755.55,755.1722,164,stop,-509.51,74.46,-583.97,-1.3048
AXISBANK,long,2026-06-05 10:00:00+05:30,2026-06-05 10:05:00+05:30,2026-06-05 10:25:00+05:30,1259.8296,1255.2,1266.1406,99,target,624.79,75.02,549.77,1.1995
SBIN,long,2026-06-05 10:20:00+05:30,2026-06-05 10:25:00+05:30,2026-06-05 10:30:00+05:30,989.2444,986.0,985.507,126,stop,-470.91,74.65,-545.55,-1.3346
LT,short,2026-06-05 10:35:00+05:30,2026-06-05 10:40:00+05:30,2026-06-05 10:55:00+05:30,3927.0355,3940.1001,3939.2687,31,stop,-379.23,73.16,-452.39,-1.117
ICICIBANK,short,2026-06-05 10:35:00+05:30,2026-06-05 10:40:00+05:30,2026-06-05 11:00:00+05:30,1249.6749,1255.4,1256.0277,100,stop,-635.28,75.17,-710.45,-1.2409
INFY,short,2026-06-05 10:35:00+05:30,2026-06-05 10:50:00+05:30,2026-06-05 11:00:00+05:30,1201.5989,1203.5,1204.1018,104,stop,-260.3,75.06,-335.36,-1.6961
KOTAKBANK,short,2026-06-05 10:35:00+05:30,2026-06-05 10:40:00+05:30,2026-06-05 11:00:00+05:30,378.4607,380.3,380.4901,330,stop,-669.72,75.14,-744.86,-1.2272
ITC,short,2026-06-05 10:35:00+05:30,2026-06-05 10:45:00+05:30,2026-06-05 11:05:00+05:30,278.8105,279.75,279.3396,448,stop,-237.03,75.02,-312.04,-0.7414
TCS,short,2026-06-05 12:20:00+05:30,2026-06-05 12:25:00+05:30,2026-06-05 12:35:00+05:30,2218.1904,2223.2,2211.7814,56,target,358.9,74.42,284.48,1.0141
RELIANCE,short,2026-06-05 13:05:00+05:30,2026-06-05 13:10:00+05:30,2026-06-05 14:15:00+05:30,1292.5534,1295.8,1292.646,96,stop,-8.89,74.45,-83.35,-0.2674
SBIN,long,2026-06-08 09:25:00+05:30,2026-06-08 09:30:00+05:30,2026-06-08 09:45:00+05:30,983.1413,974.85,982.7584,127,stop,-48.64,74.9,-123.54,-0.1173
INFY,long,2026-06-08 10:40:00+05:30,2026-06-08 10:45:00+05:30,2026-06-08 11:10:00+05:30,1198.1988,1192.5,1194.4025,104,stop,-394.81,74.65,-469.46,-0.7921
ITC,long,2026-06-08 11:00:00+05:30,2026-06-08 11:05:00+05:30,2026-06-08 11:30:00+05:30,281.7908,281.0,282.8356,443,target,462.82,75.04,387.78,1.1069
KOTAKBANK,long,2026-06-08 12:40:00+05:30,2026-06-08 12:45:00+05:30,2026-06-08 13:00:00+05:30,378.139,377.25,377.1613,330,stop,-322.63,74.77,-397.4,-1.3546
RELIANCE,short,2026-06-08 13:05:00+05:30,2026-06-08 13:10:00+05:30,2026-06-08 13:55:00+05:30,1273.4629,1275.9,1273.4364,98,stop,2.59,74.88,-72.28,-0.3027
HDFCBANK,short,2026-06-09 10:20:00+05:30,2026-06-09 10:30:00+05:30,2026-06-09 11:20:00+05:30,735.8319,737.5,733.6964,169,target,360.89,74.51,286.39,1.0159
RELIANCE,short,2026-06-09 10:45:00+05:30,2026-06-09 10:50:00+05:30,2026-06-09 11:35:00+05:30,1261.6689,1267.0,1265.3323,99,stop,-362.68,75.05,-437.73,-0.8294
SBIN,long,2026-06-09 11:35:00+05:30,2026-06-09 11:40:00+05:30,2026-06-09 11:50:00+05:30,992.1959,990.0,994.9919,125,target,349.51,74.52,274.99,1.0018
ICICIBANK,long,2026-06-09 12:10:00+05:30,2026-06-09 12:15:00+05:30,2026-06-09 12:30:00+05:30,1268.4339,1265.4,1272.3483,98,target,383.61,74.7,308.91,1.039
INFY,short,2026-06-09 12:35:00+05:30,2026-06-09 12:40:00+05:30,2026-06-09 13:00:00+05:30,1170.4145,1174.7,1172.3859,106,stop,-208.97,74.5,-283.47,-0.624
TCS,short,2026-06-09 12:40:00+05:30,2026-06-09 12:50:00+05:30,2026-06-09 13:15:00+05:30,2138.4303,2147.5,2143.6714,58,stop,-303.99,74.51,-378.5,-0.7195
ITC,short,2026-06-09 12:40:00+05:30,2026-06-09 12:45:00+05:30,2026-06-09 13:45:00+05:30,278.7605,279.3,278.9894,448,stop,-102.54,74.96,-177.5,-0.7345
HDFCBANK,long,2026-06-10 09:55:00+05:30,2026-06-10 10:00:00+05:30,2026-06-10 10:05:00+05:30,745.6226,741.25,740.8794,167,stop,-792.12,74.47,-866.6,-1.1867
SBIN,long,2026-06-10 10:30:00+05:30,2026-06-10 10:35:00+05:30,2026-06-10 10:45:00+05:30,1010.3549,1007.65,1007.1462,123,stop,-394.67,74.45,-469.12,-1.41
KOTAKBANK,long,2026-06-10 12:15:00+05:30,2026-06-10 12:20:00+05:30,2026-06-10 12:25:00+05:30,390.0449,389.35,389.1553,320,stop,-284.67,74.8,-359.48,-1.6165
LT,long,2026-06-10 11:35:00+05:30,2026-06-10 11:40:00+05:30,2026-06-10 12:45:00+05:30,3943.8709,3934.3999,3938.03,31,stop,-181.07,73.3,-254.37,-0.8664
ITC,long,2026-06-10 12:45:00+05:30,2026-06-10 12:50:00+05:30,2026-06-10 13:10:00+05:30,284.3421,283.45,285.5374,439,target,524.74,75.05,449.69,1.1482
INFY,short,2026-06-10 13:45:00+05:30,2026-06-10 13:50:00+05:30,2026-06-10 14:05:00+05:30,1148.0257,1150.8,1150.9752,108,stop,-318.55,74.49,-393.04,-1.3117
RELIANCE,short,2026-06-10 13:05:00+05:30,2026-06-10 13:10:00+05:30,2026-06-10 15:00:00+05:30,1268.9652,1274.7,1260.9932,98,target,781.25,74.38,706.87,1.2578
TCS,long,2026-06-11 11:15:00+05:30,2026-06-11 11:20:00+05:30,2026-06-11 11:25:00+05:30,2149.074,2141.7,2140.6291,58,stop,-489.8,74.64,-564.44,-1.3197
AXISBANK,long,2026-06-11 11:00:00+05:30,2026-06-11 11:05:00+05:30,2026-06-11 11:40:00+05:30,1327.4634,1324.0,1331.9923,94,target,425.71,75.0,350.71,1.0773
KOTAKBANK,long,2026-06-11 11:00:00+05:30,2026-06-11 11:05:00+05:30,2026-06-11 11:50:00+05:30,390.9454,388.9,393.8164,319,target,915.87,75.1,840.77,1.2886
HDFCBANK,long,2026-06-11 11:45:00+05:30,2026-06-11 11:50:00+05:30,2026-06-11 12:10:00+05:30,749.5746,746.35,754.0344,166,target,740.32,74.88,665.44,1.2431
RELIANCE,long,2026-06-11 11:20:00+05:30,2026-06-11 11:25:00+05:30,2026-06-11 12:30:00+05:30,1270.1347,1266.5,1274.9491,98,target,471.8,74.83,396.98,1.1145
ICICIBANK,long,2026-06-11 12:20:00+05:30,2026-06-11 12:25:00+05:30,2026-06-11 12:40:00+05:30,1325.9627,1323.1,1329.5917,94,target,341.12,74.89,266.24,0.9894
LT,short,2026-06-11 12:45:00+05:30,2026-06-11 12:50:00+05:30,2026-06-11 12:55:00+05:30,3868.065,3877.0,3878.9385,32,stop,-347.95,74.37,-422.32,-1.4771
AXISBANK,short,2026-06-12 10:40:00+05:30,2026-06-12 10:45:00+05:30,2026-06-12 10:50:00+05:30,1318.5404,1322.0,1322.661,94,stop,-387.34,74.48,-461.82,-1.4201
