exit_time,equity,net_pnl
2026-05-19 11:45:00+05:30,499531.51,-468.49
2026-05-19 12:00:00+05:30,499132.52,-398.99
2026-05-19 12:15:00+05:30,499620.61,488.09
2026-05-19 13:35:00+05:30,499108.4,-512.21
2026-05-19 13:40:00+05:30,498739.22,-369.18
2026-05-19 15:00:00+05:30,499013.81,274.59
2026-05-20 09:25:00+05:30,499405.8,391.99
2026-05-20 11:10:00+05:30,498793.17,-612.63
2026-05-20 11:20:00+05:30,498624.29,-168.88
2026-05-20 11:40:00+05:30,498648.76,24.47
2026-05-20 11:45:00+05:30,499734.31,1085.55
2026-05-20 12:00:00+05:30,499371.47,-362.84
2026-05-20 13:20:00+05:30,499049.55,-321.92
2026-05-20 14:35:00+05:30,498914.93,-134.62
2026-05-21 10:45:00+05:30,498432.02,-482.91
2026-05-21 11:25:00+05:30,498084.86,-347.16
2026-05-21 11:25:00+05:30,497950.13,-134.73
2026-05-21 11:35:00+05:30,497435.56,-514.57
2026-05-21 12:00:00+05:30,497031.88,-403.68
2026-05-21 12:50:00+05:30,496767.31,-264.57
2026-05-21 13:00:00+05:30,497084.34,317.03
2026-05-21 13:20:00+05:30,496934.36,-149.98
2026-05-21 13:40:00+05:30,496997.86,63.5
2026-05-22 10:05:00+05:30,496495.6,-502.26
2026-05-22 10:55:00+05:30,495852.44,-643.16
2026-05-22 10:55:00+05:30,495758.11,-94.33
2026-05-22 12:25:00+05:30,495533.06,-225.05
2026-05-22 12:40:00+05:30,495707.64,174.58
2026-05-22 13:15:00+05:30,495329.74,-377.9
2026-05-22 13:15:00+05:30,495366.57,36.83
2026-05-22 13:55:00+05:30,494925.16,-441.41
2026-05-22 15:10:00+05:30,495376.41,451.25
2026-05-25 11:55:00+05:30,494997.86,-378.55
2026-05-25 12:00:00+05:30,494644.11,-353.75
2026-05-25 12:55:00+05:30,494909.06,264.95
2026-05-25 13:25:00+05:30,494621.99,-287.07
2026-05-26 09:25:00+05:30,494357.12,-264.87
2026-05-26 10:15:00+05:30,494221.57,-135.55
2026-05-26 10:30:00+05:30,494001.45,-220.12
2026-05-26 10:50:00+05:30,493659.64,-341.81
2026-05-26 11:50:00+05:30,493243.52,-416.12
2026-05-26 12:20:00+05:30,493273.5,29.98
2026-05-26 12:55:00+05:30,493259.88,-13.62
2026-05-26 14:20:00+05:30,492866.88,-393.0
2026-05-27 10:05:00+05:30,492033.9,-832.98
2026-05-27 10:10:00+05:30,491784.68,-249.22
2026-05-27 10:35:00+05:30,491441.3,-343.38
2026-05-27 10:40:00+05:30,491348.96,-92.34
2026-05-27 11:20:00+05:30,490973.94,-375.02
2026-05-27 15:15:00+05:30,490545.25,-428.69
2026-05-27 15:25:00+05:30,490162.38,-382.87
2026-05-29 11:10:00+05:30,489811.4,-350.98
2026-05-29 11:15:00+05:30,489300.52,-510.88
2026-05-29 11:15:00+05:30,489249.38,-51.14
2026-05-29 11:20:00+05:30,489420.82,171.44
2026-05-29 13:10:00+05:30,489064.43,-356.39
2026-05-29 13:20:00+05:30,489450.82,386.39
2026-05-29 13:25:00+05:30,489078.81,-372.01
2026-05-29 13:50:00+05:30,489229.02,150.21
2026-05-29 15:05:00+05:30,489627.03,398.01
2026-06-01 10:10:00+05:30,489023.64,-603.39
2026-06-01 10:50:00+05:30,488589.75,-433.89
2026-06-01 11:15:00+05:30,488191.52,-398.23
